parDraw,param,stage,exposure,val,exposureNum
1,surv,recruits,high,0.15119004206902764,2
1,surv,subcanopy,high,0.7115502890467259,2
1,surv,canopy,high,0.417773845139926,2
1,settlement,NA,high,1827.3607642040993,2
2,surv,recruits,high,0.004042578008797975,2
2,surv,subcanopy,high,0.6375958083008194,2
2,surv,canopy,high,0.7682234492609351,2
2,settlement,NA,high,1933.5662036085985,2
3,surv,recruits,high,0.06626748220179209,2
3,surv,subcanopy,high,0.5988067681276967,2
3,surv,canopy,high,0.617695939087548,2
3,settlement,NA,high,2497.7528932587647,2
4,surv,recruits,high,0.09316567302991638,2
4,surv,subcanopy,high,0.2552008655231298,2
4,surv,canopy,high,0.6401835031536055,2
4,settlement,NA,high,362.9683344101319,2
5,surv,recruits,high,0.1719973570403147,2
5,surv,subcanopy,high,0.3644613137196979,2
5,surv,canopy,high,0.5731547034441271,2
5,settlement,NA,high,991.1538431506165,2
6,surv,recruits,high,0.1153386060576422,2
6,surv,subcanopy,high,0.7140002139650682,2
6,surv,canopy,high,0.3167463742447555,2
6,settlement,NA,high,1632.6022714299274,2
7,surv,recruits,high,0.1179922412787314,2
7,surv,subcanopy,high,0.6431872764334856,2
7,surv,canopy,high,0.7731839089194713,2
7,settlement,NA,high,388.32069526808016,2
8,surv,recruits,high,0.05095516456746912,2
8,surv,subcanopy,high,0.32159807643439264,2
8,surv,canopy,high,0.32496118263397983,2
8,settlement,NA,high,1477.8196201978108,2
9,surv,recruits,high,0.04504674618541213,2
9,surv,subcanopy,high,0.45930923477982544,2
9,surv,canopy,high,0.6837292837675741,2
9,settlement,NA,high,1478.0616527960424,2
10,surv,recruits,high,0.13226475199405488,2
10,surv,subcanopy,high,0.28610494058544944,2
10,surv,canopy,high,0.5900007202516497,2
10,settlement,NA,high,2633.0024160239223,2
11,surv,recruits,high,0.14960458945773672,2
11,surv,subcanopy,high,0.6336251612942848,2
11,surv,canopy,high,0.5483031509150439,2
11,settlement,NA,high,2650.0733990037043,2
12,surv,recruits,high,0.10617011598251402,2
12,surv,subcanopy,high,0.7068386728572116,2
12,surv,canopy,high,0.5622216433687464,2
12,settlement,NA,high,1765.986071999686,2
13,surv,recruits,high,0.038153914438274025,2
13,surv,subcanopy,high,0.19051987983231,2
13,surv,canopy,high,0.32720035356687155,2
13,settlement,NA,high,1458.7338797659488,2
14,surv,recruits,high,0.062740821170383,2
14,surv,subcanopy,high,0.7201370064843647,2
14,surv,canopy,high,0.739899414832076,2
14,settlement,NA,high,1456.604372575682,2
15,surv,recruits,high,0.21006514010122163,2
15,surv,subcanopy,high,0.23225026840052423,2
15,surv,canopy,high,0.26380091556062396,2
15,settlement,NA,high,1806.5950389006252,2
16,surv,recruits,high,0.06592407699853002,2
16,surv,subcanopy,high,0.26780564184730526,2
16,surv,canopy,high,0.2999679325719673,2
16,settlement,NA,high,1127.4842708833348,2
17,surv,recruits,high,0.14822439607600027,2
17,surv,subcanopy,high,0.20200334199083744,2
17,surv,canopy,high,0.4513940059343533,2
17,settlement,NA,high,226.43150658311777,2
18,surv,recruits,high,0.010262925553113294,2
18,surv,subcanopy,high,0.17462956557649734,2
18,surv,canopy,high,0.5165821253170557,2
18,settlement,NA,high,2856.1963553687797,2
19,surv,recruits,high,0.09004811171651295,2
19,surv,subcanopy,high,0.20114396099843623,2
19,surv,canopy,high,0.304621669779341,2
19,settlement,NA,high,2726.1488357243193,2
20,surv,recruits,high,0.16208561286139953,2
20,surv,subcanopy,high,0.22119895436606038,2
20,surv,canopy,high,0.5388219148647249,2
20,settlement,NA,high,1915.4208990785442,2
21,surv,recruits,high,0.14136400747267833,2
21,surv,subcanopy,high,0.5574546026744849,2
21,surv,canopy,high,0.3752928262038834,2
21,settlement,NA,high,2590.0335700636147,2
22,surv,recruits,high,0.14206533530608606,2
22,surv,subcanopy,high,0.505572027125318,2
22,surv,canopy,high,0.5589991561738374,2
22,settlement,NA,high,1411.4880021976542,2
23,surv,recruits,high,0.01418815824501068,2
23,surv,subcanopy,high,0.4245615433967207,2
23,surv,canopy,high,0.6618662482186586,2
23,settlement,NA,high,1190.127218025765,2
24,surv,recruits,high,0.05448264046923205,2
24,surv,subcanopy,high,0.6705498563362318,2
24,surv,canopy,high,0.7735240394147754,2
24,settlement,NA,high,479.73961617127,2
25,surv,recruits,high,0.19113789686183177,2
25,surv,subcanopy,high,0.13793301649460643,2
25,surv,canopy,high,0.3981812225294803,2
25,settlement,NA,high,2783.911990839792,2
26,surv,recruits,high,0.17359020209863055,2
26,surv,subcanopy,high,0.6740230545825205,2
26,surv,canopy,high,0.49413929108761095,2
26,settlement,NA,high,583.4982222759452,2
27,surv,recruits,high,0.18410147352174694,2
27,surv,subcanopy,high,0.30580363881221806,2
27,surv,canopy,high,0.2770714699143697,2
27,settlement,NA,high,1614.5520805375022,2
28,surv,recruits,high,0.19027600446173284,2
28,surv,subcanopy,high,0.1884913837879007,2
28,surv,canopy,high,0.6586093213642593,2
28,settlement,NA,high,465.31691864524953,2
29,surv,recruits,high,0.11690429977476469,2
29,surv,subcanopy,high,0.427588407569206,2
29,surv,canopy,high,0.46249149969127135,2
29,settlement,NA,high,412.9698723040133,2
30,surv,recruits,high,0.0449249032399869,2
30,surv,subcanopy,high,0.4445356643127404,2
30,surv,canopy,high,0.6207852714368365,2
30,settlement,NA,high,668.251419337837,2
31,surv,recruits,high,0.14281274756870244,2
31,surv,subcanopy,high,0.7864984872674654,2
31,surv,canopy,high,0.3093244914620857,2
31,settlement,NA,high,710.0103063956903,2
32,surv,recruits,high,0.1390315631160256,2
32,surv,subcanopy,high,0.7745421576751234,2
32,surv,canopy,high,0.3578119635061841,2
32,settlement,NA,high,437.79391461637215,2
33,surv,recruits,high,0.18630322965990162,2
33,surv,subcanopy,high,0.179426743299281,2
33,surv,canopy,high,0.37881718887981414,2
33,settlement,NA,high,2163.1566724115114,2
34,surv,recruits,high,0.14867340083228275,2
34,surv,subcanopy,high,0.40030824083726113,2
34,surv,canopy,high,0.6230217422912532,2
34,settlement,NA,high,2751.336493539612,2
35,surv,recruits,high,0.20455866916891519,2
35,surv,subcanopy,high,0.7665662598448924,2
35,surv,canopy,high,0.675425136806205,2
35,settlement,NA,high,1363.6188868492784,2
36,surv,recruits,high,0.08086957506564807,2
36,surv,subcanopy,high,0.3187481380201923,2
36,surv,canopy,high,0.6649737563401099,2
36,settlement,NA,high,1835.5905034893856,2
37,surv,recruits,high,0.21026075824834545,2
37,surv,subcanopy,high,0.13584181861747965,2
37,surv,canopy,high,0.43370675455524943,2
37,settlement,NA,high,3100.272307684747,2
38,surv,recruits,high,0.08214094901689477,2
38,surv,subcanopy,high,0.4165661450962308,2
38,surv,canopy,high,0.32681625594004876,2
38,settlement,NA,high,2422.9337691738083,2
39,surv,recruits,high,0.15949327412406597,2
39,surv,subcanopy,high,0.31744460132446073,2
39,surv,canopy,high,0.5893980388328863,2
