parDraw,param,stage,exposure,val,exposureNum
1,growStipe,recruits,NA,161.2688476143294,NA
1,growStipe,subcanopy,NA,176.8249643201003,NA
1,growStipe,canopy,NA,50.81145037291522,NA
1,growFrond,recruits,NA,0.20812031268458656,NA
1,growFrond,subcanopy,NA,0.27865534771913525,NA
1,growFrond,canopy,NA,0.33002427548504804,NA
1,loss,NA,NA,0.2302017867526402,NA
1,densityEffShape,NA,NA,0.7020104937255383,NA
2,growStipe,recruits,NA,224.9382973973081,NA
2,growStipe,subcanopy,NA,179.75165016427607,NA
2,growStipe,canopy,NA,66.44481880442747,NA
2,growFrond,recruits,NA,0.17533258965964693,NA
2,growFrond,subcanopy,NA,0.18955850690883927,NA
2,growFrond,canopy,NA,0.3746934142779421,NA
2,loss,NA,NA,0.24687086754483054,NA
2,densityEffShape,NA,NA,1.493138330290094,NA
3,growStipe,recruits,NA,230.16135873697786,NA
3,growStipe,subcanopy,NA,224.82221167464022,NA
3,growStipe,canopy,NA,67.26369704685801,NA
3,growFrond,recruits,NA,0.20791032187477068,NA
3,growFrond,subcanopy,NA,0.25551383322082394,NA
3,growFrond,canopy,NA,0.3637049448107476,NA
3,loss,NA,NA,0.32506055030790304,NA
3,densityEffShape,NA,NA,0.9514730253722519,NA
4,growStipe,recruits,NA,203.82327155929786,NA
4,growStipe,subcanopy,NA,162.83023510398624,NA
4,growStipe,canopy,NA,46.81780637384343,NA
4,growFrond,recruits,NA,0.20707621141732013,NA
4,growFrond,subcanopy,NA,0.26958023187224633,NA
4,growFrond,canopy,NA,0.40318468181192924,NA
4,loss,NA,NA,0.21747743701232813,NA
4,densityEffShape,NA,NA,0.9674286188092083,NA
5,growStipe,recruits,NA,228.14957571278734,NA
5,growStipe,subcanopy,NA,222.12510761571946,NA
5,growStipe,canopy,NA,46.59603377734254,NA
5,growFrond,recruits,NA,0.1821599859447144,NA
5,growFrond,subcanopy,NA,0.2051781372258474,NA
5,growFrond,canopy,NA,0.4093657084695474,NA
5,loss,NA,NA,0.39258946823398233,NA
5,densityEffShape,NA,NA,0.9094281115103513,NA
6,growStipe,recruits,NA,210.07269217644895,NA
6,growStipe,subcanopy,NA,177.149996154716,NA
6,growStipe,canopy,NA,60.83934856496816,NA
6,growFrond,recruits,NA,0.1883449633810278,NA
6,growFrond,subcanopy,NA,0.28726947285988674,NA
6,growFrond,canopy,NA,0.33430428699731624,NA
6,loss,NA,NA,0.09776355954233931,NA
6,densityEffShape,NA,NA,0.9096554417628795,NA
7,growStipe,recruits,NA,212.0922543245339,NA
7,growStipe,subcanopy,NA,183.00757730946032,NA
7,growStipe,canopy,NA,43.29583163859404,NA
7,growFrond,recruits,NA,0.1935290402410752,NA
7,growFrond,subcanopy,NA,0.25069042795255714,NA
7,growFrond,canopy,NA,0.4325512500825832,NA
7,loss,NA,NA,0.18767863189406928,NA
7,densityEffShape,NA,NA,1.2571721624117345,NA
8,growStipe,recruits,NA,215.9124517828132,NA
8,growStipe,subcanopy,NA,210.2425450590328,NA
8,growStipe,canopy,NA,58.65086858055725,NA
8,growFrond,recruits,NA,0.1735214982311342,NA
8,growFrond,subcanopy,NA,0.1937096359328143,NA
8,growFrond,canopy,NA,0.3635468518304468,NA
8,loss,NA,NA,0.2254731940801013,NA
8,densityEffShape,NA,NA,0.9936460803728551,NA
9,growStipe,recruits,NA,177.59008742888074,NA
9,growStipe,subcanopy,NA,192.579838807432,NA
9,growStipe,canopy,NA,73.00982222282164,NA
9,growFrond,recruits,NA,0.14930459215063438,NA
9,growFrond,subcanopy,NA,0.2702843939179681,NA
9,growFrond,canopy,NA,0.4022405355638565,NA
9,loss,NA,NA,0.39979323041763204,NA
9,densityEffShape,NA,NA,0.5578065596055239,NA
10,growStipe,recruits,NA,229.37646140331736,NA
10,growStipe,subcanopy,NA,228.53355322374512,NA
10,growStipe,canopy,NA,58.76199631222315,NA
10,growFrond,recruits,NA,0.182966459411407,NA
10,growFrond,subcanopy,NA,0.2646247048348555,NA
10,growFrond,canopy,NA,0.46562652050247333,NA
10,loss,NA,NA,0.4395372672317981,NA
10,densityEffShape,NA,NA,1.3139138640835881,NA
11,growStipe,recruits,NA,210.90076063878644,NA
11,growStipe,subcanopy,NA,167.12207708224577,NA
